# num_greedy 30
55 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
56 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
57 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
58 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
59 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
60 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
61 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
62 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
63 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
64 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
65 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
66 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
67 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
68 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
69 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
70 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
71 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
72 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
73 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
74 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
75 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
76 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
77 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
78 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
79 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
80 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
81 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
82 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
83 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
84 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
85 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
86 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
87 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
88 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
89 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
90 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
91 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
92 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
93 ; 664.0 ; [ 6.56831424 21.22686985 24.89838489 22.52579345 20.09810846  7.70094171]
94 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
95 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
96 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
97 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
98 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
99 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
100 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
101 ; 671.0 ; [ 8.6492659  21.28516141 21.75526858 21.64648489 19.59116351  6.52645901]
